frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,throttle_count
0,1367.22,93.77,100.00,2400.00,1.4676,0
1,1307.49,95.71,100.00,2400.00,1.4648,0
2,1307.54,95.06,100.00,2400.00,1.4675,0
3,1318.86,95.71,100.00,2400.00,1.4689,0
4,1338.33,95.24,100.00,2400.00,1.4649,0
5,1283.05,94.64,100.00,2400.00,1.458,0
6,1312.43,96.26,100.00,2400.00,1.4535,0
7,1306.84,97.26,100.00,2400.00,1.443,0
8,1270.57,96.40,100.00,2400.00,1.4398,0
9,1282.84,95.61,100.00,2400.00,1.4363,0
10,1271.99,96.38,100.00,2400.00,1.4295,0
11,1303.14,95.15,100.00,2400.00,1.4249,0
12,1253.49,96.08,100.00,2400.00,1.4238,0
13,1265.90,96.05,100.00,2400.00,1.4218,0
14,1289.33,94.69,100.00,2400.00,1.4184,0
15,1336.58,96.64,100.00,2400.00,1.4174,0
16,1278.80,96.09,100.00,2400.00,1.4133,0
17,1333.60,96.02,100.00,2400.00,1.4122,0
18,1278.96,96.97,100.00,2400.00,1.4085,0
19,1269.95,96.89,100.00,2400.00,1.4084,0
20,1306.90,96.82,100.00,2400.00,1.4073,0
21,1319.19,94.21,100.00,2400.00,1.4069,0
22,1266.59,96.22,100.00,2400.00,1.4057,0
