frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,throttle_count
0,1042.85,92.59,100.00,2400.00,1.2569,0
1,1065.39,95.14,100.00,2400.00,1.2581,0
2,1033.25,93.33,100.00,2400.00,1.26,0
3,1065.92,96.54,100.00,2400.00,1.2609,0
4,1088.10,95.11,100.00,2400.00,1.2616,0
5,1021.30,96.10,100.00,2400.00,1.2602,0
6,1049.26,94.14,100.00,2400.00,1.2616,0
7,1059.45,95.02,100.00,2400.00,1.2601,0
8,1049.43,94.98,100.00,2400.00,1.2577,0
9,1053.03,94.95,100.00,2400.00,1.2561,0
10,1109.10,94.07,100.00,2400.00,1.2509,0
11,1072.73,94.95,100.00,2400.00,1.2504,0
12,1040.81,94.82,100.00,2400.00,1.2463,0
13,1036.41,94.34,100.00,2400.00,1.2444,0
14,1074.79,94.12,100.00,2400.00,1.2397,0
15,1059.96,97.40,100.00,2400.00,1.238,0
16,989.08,96.85,100.00,2400.00,1.2323,0
17,1041.31,95.80,100.00,2400.00,1.2308,0
18,1063.91,95.61,100.00,2400.00,1.2272,0
19,1067.71,95.10,100.00,2400.00,1.2262,0
20,1069.36,94.07,100.00,2400.00,1.2225,0
21,1042.99,96.18,100.00,2400.00,1.2229,0
22,1037.76,96.19,100.00,2400.00,1.2224,0
23,1051.63,95.80,100.00,2400.00,1.2227,0
24,1079.60,95.52,100.00,2400.00,1.2209,0
25,1052.44,93.95,100.00,2400.00,1.2208,0
26,1069.18,93.65,100.00,2400.00,1.2194,0
27,1097.53,95.78,100.00,2400.00,1.2194,0
28,1035.44,96.37,100.00,2400.00,1.2172,0
