frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,throttle_count
0,147.93,79.38,100.00,2400.00,0.978,0
1,145.70,82.25,100.00,2400.00,0.9783,0
2,135.29,87.00,100.00,2400.00,0.9802,0
3,197.63,74.40,100.00,2400.00,0.9783,0
4,133.14,80.46,100.00,2400.00,0.9818,0
5,141.28,88.82,100.00,2400.00,0.9813,0
6,138.68,88.66,100.00,2400.00,0.9844,0
7,152.81,92.12,100.00,2400.00,0.9844,0
8,137.03,86.36,100.00,2400.00,0.9873,0
9,123.61,95.26,100.00,2400.00,0.9878,0
10,130.93,86.92,100.00,2400.00,0.9893,0
11,137.64,90.48,100.00,2400.00,0.9903,0
12,141.51,87.12,100.00,2400.00,0.992,0
13,136.86,93.86,100.00,2400.00,0.9947,0
14,136.99,92.62,100.00,2400.00,0.995,0
15,138.30,87.94,100.00,2400.00,0.9951,0
16,141.59,93.70,100.00,2400.00,0.9983,0
17,141.21,95.22,100.00,2400.00,0.9986,0
18,134.55,88.46,100.00,2400.00,0.9998,0
19,135.12,88.20,100.00,2400.00,1.0011,0
20,150.09,87.34,100.00,2400.00,1.0039,0
21,143.32,95.48,100.00,2400.00,1.0039,0
22,141.28,92.98,100.00,2400.00,1.0007,0
23,128.89,81.58,100.00,2400.00,1.0007,0
24,138.69,85.62,100.00,2400.00,1.0007,0
25,146.06,93.04,100.00,2400.00,1.0014,0
26,141.92,92.52,100.00,2400.00,1.0029,0
27,140.33,93.80,100.00,2400.00,1.0026,0
28,143.60,91.00,100.00,2400.00,0.9934,0
29,128.69,92.18,100.00,2400.00,0.9934,0
30,134.41,88.22,100.00,2400.00,0.994,0
31,138.10,87.90,100.00,2400.00,0.9911,0
32,137.38,91.18,100.00,2400.00,0.9909,0
33,133.80,86.76,100.00,2400.00,0.991,0
34,123.45,90.34,100.00,2400.00,0.9857,0
35,147.82,82.82,100.00,2400.00,0.9857,0
36,129.55,83.58,100.00,2400.00,0.9845,0
37,134.92,90.46,100.00,2400.00,0.984,0
38,144.61,88.32,100.00,2400.00,0.9852,0
39,123.00,96.64,100.00,2400.00,0.9882,0
40,138.79,87.56,100.00,2400.00,0.9809,0
41,141.29,92.00,100.00,2400.00,0.9809,0
42,136.14,85.90,100.00,2400.00,0.9798,0
43,131.30,88.14,100.00,2400.00,0.9801,0
44,130.05,86.80,100.00,2400.00,0.9827,0
45,139.51,89.34,100.00,2400.00,0.9827,0
46,134.80,86.78,100.00,2400.00,0.9821,0
47,139.51,87.14,100.00,2400.00,0.9821,0
48,150.49,92.93,100.00,2400.00,0.9784,0
49,143.22,81.92,100.00,2400.00,0.9772,0
50,133.57,90.18,100.00,2400.00,0.9748,0
51,138.63,89.48,100.00,2400.00,0.9753,0
52,125.48,88.64,100.00,2400.00,0.9779,0
53,140.36,88.58,100.00,2400.00,0.9779,0
54,135.66,90.44,100.00,2400.00,0.9732,0
55,133.78,89.22,100.00,2400.00,0.9732,0
56,132.53,90.24,100.00,2400.00,0.9717,0
57,137.69,87.52,100.00,2400.00,0.9721,0
58,140.23,80.38,100.00,2400.00,0.9731,0
59,143.34,93.12,100.00,2400.00,0.975,0
60,134.85,90.00,100.00,2400.00,0.9709,0
61,139.83,88.66,100.00,2400.00,0.9715,0
62,141.98,87.24,100.00,2400.00,0.9682,0
63,137.29,91.84,100.00,2400.00,0.9683,0
64,139.52,94.94,100.00,2400.00,0.9672,0
65,146.08,92.63,100.00,2400.00,0.97,0
66,137.25,82.84,100.00,2400.00,0.967,0
67,145.55,90.32,100.00,2400.00,0.967,0
68,132.57,81.20,100.00,2400.00,0.9644,0
69,138.77,91.24,100.00,2400.00,0.9647,0
70,136.42,88.10,100.00,2400.00,0.9644,0
71,143.70,89.84,100.00,2400.00,0.9644,0
72,137.79,89.42,100.00,2400.00,0.9688,0
73,135.97,88.56,100.00,2400.00,0.969,0
74,143.87,86.50,100.00,2400.00,0.967,0
75,126.74,88.94,100.00,2400.00,0.967,0
76,137.28,87.14,100.00,2400.00,0.9676,0
77,136.66,85.46,100.00,2400.00,0.968,0
78,141.21,89.56,100.00,2400.00,0.9691,0
79,140.83,90.12,100.00,2400.00,0.9678,0
80,140.08,91.84,100.00,2400.00,0.9658,0
81,149.78,92.75,100.00,2400.00,0.9654,0
82,130.81,82.64,100.00,2400.00,0.9662,0
83,136.67,88.66,100.00,2400.00,0.9662,0
84,149.28,90.76,100.00,2400.00,0.9658,0
85,139.89,94.42,100.00,2400.00,0.9666,0
86,142.85,95.58,100.00,2400.00,0.963,0
87,135.54,92.10,100.00,2400.00,0.963,0
88,139.75,88.02,100.00,2400.00,0.9639,0
89,135.57,90.32,100.00,2400.00,0.9651,0
90,134.45,89.48,100.00,2400.00,0.9649,0
91,135.09,90.24,100.00,2400.00,0.9658,0
92,138.20,88.70,100.00,2400.00,0.9647,0
93,129.87,88.66,100.00,2400.00,0.9647,0
94,142.99,88.82,100.00,2400.00,0.9633,0
95,145.61,90.40,100.00,2400.00,0.9639,0
96,134.45,90.34,100.00,2400.00,0.9639,0
97,139.86,85.90,100.00,2400.00,0.9639,0
98,130.34,91.08,100.00,2400.00,0.9648,0
99,141.84,87.00,100.00,2400.00,0.9648,0
