frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,throttle_count
0,351.09,88.40,100.00,2400.00,1.0242,0
1,351.29,91.81,100.00,2400.00,1.025,0
2,355.97,92.75,100.00,2400.00,1.0276,0
3,330.55,91.68,100.00,2400.00,1.0279,0
4,323.53,94.55,100.00,2400.00,1.0308,0
5,353.08,92.23,100.00,2400.00,1.0323,0
6,346.43,94.89,100.00,2400.00,1.0337,0
7,330.62,91.56,100.00,2400.00,1.0337,0
8,355.13,92.23,100.00,2400.00,1.037,0
9,344.98,94.16,100.00,2400.00,1.0372,0
10,328.76,91.89,100.00,2400.00,1.0412,0
11,345.91,92.80,100.00,2400.00,1.0412,0
12,339.28,94.26,100.00,2400.00,1.0426,0
13,335.96,93.23,100.00,2400.00,1.0434,0
14,331.91,94.58,100.00,2400.00,1.0437,0
15,339.69,93.64,100.00,2400.00,1.044,0
16,359.57,91.93,100.00,2400.00,1.0461,0
17,339.32,90.82,100.00,2400.00,1.0457,0
18,342.00,93.02,100.00,2400.00,1.043,0
19,354.77,92.78,100.00,2400.00,1.039,0
20,337.78,95.30,100.00,2400.00,1.0344,0
21,345.84,94.30,100.00,2400.00,1.0344,0
22,350.16,92.98,100.00,2400.00,1.0341,0
23,339.48,91.38,100.00,2400.00,1.0341,0
24,333.45,92.70,100.00,2400.00,1.0302,0
25,348.65,93.40,100.00,2400.00,1.0289,0
26,343.05,93.15,100.00,2400.00,1.0258,0
27,342.12,94.59,100.00,2400.00,1.0269,0
28,339.84,95.19,100.00,2400.00,1.0216,0
29,345.46,93.04,100.00,2400.00,1.0219,0
30,353.48,94.23,100.00,2400.00,1.0224,0
31,342.82,90.59,100.00,2400.00,1.0229,0
32,338.62,95.21,100.00,2400.00,1.0178,0
33,355.75,90.75,100.00,2400.00,1.0194,0
34,342.36,93.85,100.00,2400.00,1.0172,0
35,339.46,95.49,100.00,2400.00,1.0184,0
36,357.17,91.83,100.00,2400.00,1.0167,0
37,348.27,92.76,100.00,2400.00,1.0175,0
38,330.32,94.02,100.00,2400.00,1.0142,0
39,347.02,95.23,100.00,2400.00,1.0147,0
40,341.95,93.60,100.00,2400.00,1.0111,0
41,342.42,94.95,100.00,2400.00,1.0116,0
42,340.66,95.83,100.00,2400.00,1.0095,0
43,342.50,92.65,100.00,2400.00,1.0092,0
44,352.36,94.45,100.00,2400.00,1.0116,0
45,337.84,93.26,100.00,2400.00,1.0116,0
46,335.43,93.25,100.00,2400.00,1.0089,0
47,356.34,93.26,100.00,2400.00,1.0106,0
48,342.19,94.56,100.00,2400.00,1.0086,0
49,345.41,92.81,100.00,2400.00,1.009,0
50,350.71,93.34,100.00,2400.00,1.0105,0
51,348.44,92.78,100.00,2400.00,1.0105,0
52,343.08,93.62,100.00,2400.00,1.0098,0
53,340.06,93.78,100.00,2400.00,1.0098,0
54,334.49,91.68,100.00,2400.00,1.0076,0
55,346.45,93.82,100.00,2400.00,1.0093,0
56,337.59,89.64,100.00,2400.00,1.0071,0
57,345.27,93.58,100.00,2400.00,1.0071,0
58,355.83,93.32,100.00,2400.00,1.0086,0
59,326.41,89.80,100.00,2400.00,1.0088,0
60,336.17,92.38,100.00,2400.00,1.0059,0
61,354.00,91.78,100.00,2400.00,1.0075,0
62,345.91,92.08,100.00,2400.00,1.0088,0
63,342.09,93.49,100.00,2400.00,1.0087,0
64,357.85,92.14,100.00,2400.00,1.0113,0
65,343.75,92.24,100.00,2400.00,1.0114,0
66,336.93,94.16,100.00,2400.00,1.0093,0
67,341.22,92.69,100.00,2400.00,1.0094,0
68,348.82,92.98,100.00,2400.00,1.0062,0
69,339.33,92.58,100.00,2400.00,1.0077,0
70,327.96,95.92,100.00,2400.00,1.0065,0
71,353.03,92.62,100.00,2400.00,1.0066,0
72,351.61,91.35,100.00,2400.00,1.0082,0
73,336.64,95.13,100.00,2400.00,1.0075,0
74,335.55,95.09,100.00,2400.00,1.0059,0
75,358.57,93.12,100.00,2400.00,1.0078,0
76,345.48,94.27,100.00,2400.00,1.0045,0
77,342.95,95.09,100.00,2400.00,1.0044,0
78,359.98,92.67,100.00,2400.00,1.007,0
79,346.31,94.08,100.00,2400.00,1.0079,0
80,343.16,95.07,100.00,2400.00,1.0088,0
81,337.48,93.08,100.00,2400.00,1.0091,0
82,344.36,94.37,100.00,2400.00,1.0072,0
83,340.80,90.75,100.00,2400.00,1.0081,0
