frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,throttle_count
0,2805.32,95.50,100.00,2400.00,1.8354,0
1,2869.12,96.18,100.00,2400.00,1.8336,0
2,2809.84,96.66,100.00,2400.00,1.832,0
3,2825.16,97.14,100.00,2400.00,1.8252,0
4,2823.67,96.71,100.00,2400.00,1.8189,0
5,2851.60,95.27,100.00,2400.00,1.8142,0
6,2838.27,95.73,100.00,2400.00,1.8103,0
7,2790.58,96.93,100.00,2400.00,1.809,0
8,2855.71,96.61,100.00,2400.00,1.8065,0
9,2806.15,96.47,100.00,2400.00,1.8044,0
10,2855.45,95.53,100.00,2400.00,1.8057,0
