frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,temp_max,throttle_count
0,1186.03,94.60,100.00,2400.00,1.4398,59.80,0
1,1231.54,96.37,100.00,2400.00,1.4298,60.40,0
2,1240.79,94.90,100.00,2400.00,1.4254,59.80,0
3,1189.11,96.81,100.00,2400.00,1.4218,60.40,0
4,1232.32,95.51,100.00,2400.00,1.4156,59.80,0
5,1197.45,96.05,100.00,2400.00,1.4118,60.40,0
6,1194.08,96.51,100.00,2400.00,1.4053,61.50,0
7,1218.10,96.35,100.00,2400.00,1.4049,60.40,0
8,1221.10,96.36,100.00,2400.00,1.4022,60.40,0
9,1238.18,95.19,100.00,2400.00,1.401,60.40,0
10,1211.99,95.86,100.00,2400.00,1.3974,61.50,0
11,1177.21,96.66,100.00,2400.00,1.3982,61.50,0
12,1218.20,96.77,100.00,2400.00,1.3946,61.50,0
13,1235.02,94.73,100.00,2400.00,1.3939,60.90,0
14,1189.23,96.44,100.00,2400.00,1.3909,60.90,0
15,1246.04,95.90,100.00,2400.00,1.3903,61.50,0
16,1210.98,94.85,100.00,2400.00,1.3887,61.50,0
17,1244.16,95.19,100.00,2400.00,1.3891,61.50,0
18,1212.96,96.43,100.00,2400.00,1.3887,61.50,0
19,1184.88,95.10,100.00,2400.00,1.3888,61.50,0
20,1237.69,95.75,100.00,2400.00,1.3871,61.50,0
21,1189.97,94.77,100.00,2400.00,1.3873,61.50,0
22,1188.39,95.36,100.00,2400.00,1.3874,62.60,0
23,1243.06,96.39,100.00,2400.00,1.3877,61.50,0
24,1198.42,96.52,100.00,2400.00,1.3873,62.00,0
25,1239.25,96.12,100.00,2400.00,1.3872,62.00,0
26,1279.82,95.02,100.00,2400.00,1.3863,61.50,0
27,1185.40,95.94,100.00,2400.00,1.3861,62.00,0
28,1207.61,96.88,100.00,2400.00,1.3852,63.10,0
29,1161.85,96.27,100.00,2400.00,1.3851,62.00,0
30,1211.67,94.53,100.00,2400.00,1.3855,62.60,0
31,1198.42,97.18,100.00,2400.00,1.3849,62.00,0
32,1179.56,95.51,100.00,2400.00,1.3846,63.10,0
33,1168.32,97.51,100.00,2400.00,1.3857,63.10,0
34,1241.87,94.97,100.00,2400.00,1.3853,62.60,0
35,1246.68,96.17,100.00,2400.00,1.3858,62.60,0
36,1232.13,94.83,100.00,2400.00,1.3864,62.00,0
37,1224.53,95.92,100.00,2400.00,1.386,63.10,0
38,1176.17,96.33,100.00,2400.00,1.3863,62.60,0
39,1217.81,95.33,100.00,2400.00,1.3868,63.10,0
40,1247.38,94.65,100.00,2400.00,1.3868,62.60,0
41,1196.05,96.68,100.00,2400.00,1.3865,62.60,0
42,1214.16,95.37,100.00,2400.00,1.3875,62.60,0
43,1228.05,94.89,100.00,2400.00,1.387,62.60,0
44,1190.14,96.31,100.00,2400.00,1.3843,63.70,0
45,1208.09,95.59,100.00,2400.00,1.3848,63.10,0
46,1257.24,94.88,100.00,2400.00,1.3851,63.10,0
47,1170.81,96.67,100.00,2400.00,1.3858,63.10,0
48,1187.22,95.66,100.00,2400.00,1.3856,63.10,0
49,1218.41,95.51,100.00,2400.00,1.3864,63.10,0
50,1202.44,96.80,100.00,2400.00,1.3838,63.10,0
51,1191.93,95.97,100.00,2400.00,1.3844,63.10,0
52,1164.59,97.25,100.00,2400.00,1.3847,63.10,0
53,1207.76,95.69,100.00,2400.00,1.3854,63.10,0
54,1191.97,96.18,100.00,2400.00,1.3856,63.10,0
55,1212.78,97.32,100.00,2400.00,1.3865,63.70,0
56,1239.89,96.35,100.00,2400.00,1.3864,63.70,0
57,1254.85,95.63,100.00,2400.00,1.3874,63.70,0
58,1251.01,95.69,100.00,2400.00,1.3865,63.10,0
59,1247.96,94.35,100.00,2400.00,1.3852,63.10,0
60,1247.58,96.31,100.00,2400.00,1.3839,63.10,0
61,1211.47,95.38,100.00,2400.00,1.3849,63.10,0
62,1210.70,96.02,100.00,2400.00,1.3858,63.10,0
63,1239.86,96.65,100.00,2400.00,1.3863,63.70,0
64,1168.35,95.44,100.00,2400.00,1.385,63.70,0
65,1175.83,96.74,100.00,2400.00,1.3854,63.70,0
66,1223.70,95.63,100.00,2400.00,1.3839,63.70,0
67,1200.30,96.00,100.00,2400.00,1.3848,63.70,0
68,1209.65,97.31,100.00,2400.00,1.3848,63.70,0
69,1196.45,95.96,100.00,2400.00,1.3857,63.70,0
70,1207.30,96.00,100.00,2400.00,1.3853,63.10,0
71,1202.60,94.97,100.00,2400.00,1.3847,63.70,0
72,1167.08,96.09,100.00,2400.00,1.3856,63.70,0
73,1247.20,95.27,100.00,2400.00,1.3862,63.70,0
74,1206.34,96.60,100.00,2400.00,1.3846,64.20,0
75,1175.21,96.63,100.00,2400.00,1.386,63.70,0
76,1230.36,96.44,100.00,2400.00,1.3863,63.70,0
77,1192.67,95.87,100.00,2400.00,1.3843,64.20,0
78,1198.37,95.92,100.00,2400.00,1.3838,64.20,0
79,1179.79,97.15,100.00,2400.00,1.3843,64.20,0
80,1204.83,96.17,100.00,2400.00,1.3842,64.20,0
81,1217.29,94.74,100.00,2400.00,1.3849,63.70,0
82,1182.99,96.79,100.00,2400.00,1.3845,64.20,0
83,1209.82,95.75,100.00,2400.00,1.3849,64.20,0
84,1243.58,96.40,100.00,2400.00,1.3844,64.80,0
85,1183.72,94.87,100.00,2400.00,1.385,63.70,0
86,1187.41,96.16,100.00,2400.00,1.3843,64.20,0
87,1206.75,95.77,100.00,2400.00,1.3847,64.20,0
88,1200.65,96.79,100.00,2400.00,1.3849,63.70,0
89,1195.79,95.25,100.00,2400.00,1.3853,64.20,0
90,1225.05,94.36,100.00,2400.00,1.3839,64.80,0
91,1177.65,96.93,100.00,2400.00,1.3843,64.20,0
92,1186.05,97.01,100.00,2400.00,1.3846,64.80,0
93,1195.41,95.02,100.00,2400.00,1.3852,64.80,0
94,1210.31,94.98,100.00,2400.00,1.3851,64.20,0
95,1154.88,95.45,100.00,2400.00,1.3843,64.20,0
96,1245.60,97.03,100.00,2400.00,1.3833,64.20,0
97,1220.53,96.57,100.00,2400.00,1.384,63.70,0
98,1162.69,96.17,100.00,2400.00,1.3841,64.20,0
99,1263.59,94.73,100.00,2400.00,1.385,65.30,0
100,1234.64,96.82,100.00,2400.00,1.3847,64.20,0
101,1224.75,95.97,100.00,2400.00,1.3844,64.80,0
102,1187.05,96.69,100.00,2400.00,1.382,64.80,0
103,1211.40,95.86,100.00,2400.00,1.3837,64.80,0
104,1226.91,95.90,100.00,2400.00,1.3839,64.80,0
105,1232.76,95.90,100.00,2400.00,1.3837,64.80,0
106,1194.90,96.76,100.00,2400.00,1.3821,64.20,0
