frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,temp_max,throttle_count
0,1001.59,94.18,100.00,2400.00,1.2379,59.80,0
1,1008.45,95.25,100.00,2400.00,1.2358,59.80,0
2,1026.16,94.87,100.00,2400.00,1.2305,59.30,0
3,991.88,96.20,100.00,2400.00,1.2284,59.80,0
4,967.20,93.39,100.00,2400.00,1.2251,59.80,0
5,976.57,94.67,100.00,2400.00,1.2242,60.40,0
6,1004.68,95.97,100.00,2400.00,1.2207,60.40,0
7,966.37,96.05,100.00,2400.00,1.2202,60.40,0
8,983.84,97.21,100.00,2400.00,1.2159,60.90,0
9,972.32,96.47,100.00,2400.00,1.2154,60.90,0
10,1007.53,95.19,100.00,2400.00,1.2109,60.90,0
11,979.59,95.43,100.00,2400.00,1.2101,60.90,0
12,979.46,94.88,100.00,2400.00,1.2063,61.50,0
13,1008.84,93.99,100.00,2400.00,1.2065,60.90,0
14,990.45,95.86,100.00,2400.00,1.2035,60.90,0
15,981.34,96.36,100.00,2400.00,1.2033,61.50,0
16,1037.39,95.40,100.00,2400.00,1.201,61.50,0
17,990.76,95.09,100.00,2400.00,1.2012,62.00,0
18,965.52,95.99,100.00,2400.00,1.1998,62.00,0
19,971.66,94.31,100.00,2400.00,1.1993,61.50,0
20,1006.42,96.35,100.00,2400.00,1.1977,61.50,0
21,972.25,95.77,100.00,2400.00,1.1986,62.00,0
22,992.63,95.46,100.00,2400.00,1.1973,62.60,0
23,943.32,95.19,100.00,2400.00,1.1976,62.00,0
24,1002.62,95.15,100.00,2400.00,1.1967,62.60,0
25,982.43,94.24,100.00,2400.00,1.1969,62.00,0
26,1006.09,97.08,100.00,2400.00,1.1965,62.60,0
27,941.94,94.94,100.00,2400.00,1.1971,62.60,0
28,1031.52,94.22,100.00,2400.00,1.1968,62.00,0
29,972.59,96.42,100.00,2400.00,1.1974,62.60,0
30,995.87,95.91,100.00,2400.00,1.1971,62.00,0
31,978.32,94.19,100.00,2400.00,1.1968,62.60,0
32,1024.66,96.36,100.00,2400.00,1.1962,62.00,0
33,943.32,95.75,100.00,2400.00,1.196,62.00,0
34,969.36,95.99,100.00,2400.00,1.1969,62.60,0
35,988.46,94.85,100.00,2400.00,1.1975,61.50,0
36,1006.55,96.16,100.00,2400.00,1.1977,62.00,0
37,1019.33,94.63,100.00,2400.00,1.1975,62.00,0
38,1002.88,95.67,100.00,2400.00,1.1972,62.00,0
39,1003.25,95.75,100.00,2400.00,1.1977,62.00,0
40,948.44,94.72,100.00,2400.00,1.1991,62.00,0
41,957.00,95.62,100.00,2400.00,1.1984,62.00,0
