frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,temp_max,throttle_count
0,139.31,86.39,100.00,2400.00,0.9621,52.10,0
1,133.73,90.62,100.00,2400.00,0.9622,52.10,0
2,138.33,87.80,100.00,2400.00,0.9622,52.10,0
3,132.56,95.62,100.00,2400.00,0.9625,52.70,0
4,139.72,90.29,100.00,2400.00,0.9657,53.20,0
5,153.47,94.60,100.00,2400.00,0.9657,53.20,0
6,146.90,91.51,100.00,2400.00,0.9682,52.70,0
7,159.32,93.72,100.00,2400.00,0.9705,52.70,0
8,158.42,89.68,100.00,2400.00,0.9703,53.20,0
9,155.63,97.38,100.00,2400.00,0.9703,53.80,0
10,160.81,90.73,100.00,2400.00,0.9707,52.70,0
11,151.09,95.29,100.00,2400.00,0.9707,52.70,0
12,136.49,89.91,100.00,2400.00,0.9677,52.70,0
13,156.32,92.89,100.00,2400.00,0.9664,53.20,0
14,157.43,89.24,100.00,2400.00,0.961,53.20,0
15,135.13,91.40,100.00,2400.00,0.961,53.80,0
16,135.93,89.51,100.00,2400.00,0.9614,53.20,0
17,174.90,95.89,100.00,2400.00,0.9582,53.80,0
18,136.81,95.07,100.00,2400.00,0.9585,53.80,0
19,125.79,84.59,100.00,2400.00,0.9591,53.80,0
20,141.90,90.74,100.00,2400.00,0.9571,53.20,0
21,126.61,91.66,100.00,2400.00,0.958,53.80,0
22,138.07,92.54,100.00,2400.00,0.9582,53.80,0
23,130.44,95.24,100.00,2400.00,0.9582,53.80,0
24,125.78,89.88,100.00,2400.00,0.957,53.80,0
25,141.72,90.71,100.00,2400.00,0.9583,54.30,0
26,126.85,89.88,100.00,2400.00,0.9588,54.30,0
27,139.51,91.28,100.00,2400.00,0.9579,53.80,0
28,132.16,95.71,100.00,2400.00,0.9559,53.80,0
29,139.40,94.28,100.00,2400.00,0.9536,54.30,0
30,171.76,83.24,100.00,2400.00,0.9542,54.30,0
31,136.83,92.13,100.00,2400.00,0.9542,54.30,0
32,156.74,91.79,100.00,2400.00,0.9529,54.30,0
33,146.92,90.41,100.00,2400.00,0.9522,54.90,0
34,157.31,87.07,100.00,2400.00,0.9469,54.90,0
35,135.31,91.66,100.00,2400.00,0.9469,54.30,0
36,156.94,97.38,100.00,2400.00,0.9487,54.30,0
37,159.66,97.07,100.00,2400.00,0.9489,54.30,0
38,149.87,82.81,100.00,2400.00,0.9495,54.30,0
39,138.61,94.86,100.00,2400.00,0.9521,54.30,0
40,158.60,97.78,100.00,2400.00,0.9479,54.30,0
41,137.40,96.01,100.00,2400.00,0.9482,54.30,0
42,150.12,92.41,100.00,2400.00,0.9488,54.90,0
43,144.44,87.97,100.00,2400.00,0.9488,55.40,0
44,145.06,87.99,100.00,2400.00,0.9503,54.30,0
45,131.52,88.39,100.00,2400.00,0.9519,54.30,0
46,154.40,87.28,100.00,2400.00,0.9472,54.30,0
47,140.35,97.03,100.00,2400.00,0.9473,54.30,0
48,149.45,86.54,100.00,2400.00,0.9479,54.30,0
49,148.51,91.66,100.00,2400.00,0.9477,54.30,0
50,157.01,94.52,100.00,2400.00,0.9447,54.30,0
51,156.99,91.14,100.00,2400.00,0.9447,54.90,0
52,144.38,94.91,100.00,2400.00,0.9484,54.90,0
53,142.38,90.76,100.00,2400.00,0.9489,55.40,0
54,144.40,91.93,100.00,2400.00,0.9462,54.90,0
55,128.60,88.20,100.00,2400.00,0.9465,55.40,0
56,137.98,87.50,100.00,2400.00,0.9479,54.30,0
57,146.52,91.81,100.00,2400.00,0.9491,55.40,0
58,147.48,91.62,100.00,2400.00,0.9549,54.90,0
59,145.90,92.23,100.00,2400.00,0.9544,55.40,0
60,143.61,88.19,100.00,2400.00,0.9494,55.40,0
61,145.28,94.56,100.00,2400.00,0.9496,54.90,0
