frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,temp_max,throttle_count
0,333.08,88.68,100.00,2400.00,1.0257,56.00,0
1,348.93,92.71,100.00,2400.00,1.0265,56.50,0
2,312.51,93.98,100.00,2400.00,1.0283,57.10,0
3,330.22,92.63,100.00,2400.00,1.0285,57.10,0
4,340.90,91.32,100.00,2400.00,1.033,56.00,0
5,325.57,92.81,100.00,2400.00,1.0327,56.50,0
6,343.05,93.85,100.00,2400.00,1.0306,56.50,0
7,357.14,92.07,100.00,2400.00,1.029,56.50,0
8,323.91,93.80,100.00,2400.00,1.0255,57.10,0
9,317.28,93.05,100.00,2400.00,1.0246,58.20,0
10,335.03,94.49,100.00,2400.00,1.0206,57.10,0
11,322.36,94.76,100.00,2400.00,1.0197,57.10,0
12,317.91,94.12,100.00,2400.00,1.0182,57.60,0
13,333.09,91.12,100.00,2400.00,1.017,58.70,0
14,319.50,93.81,100.00,2400.00,1.0138,57.60,0
15,318.07,94.75,100.00,2400.00,1.0125,57.10,0
16,319.54,93.17,100.00,2400.00,1.0065,57.10,0
17,322.49,93.48,100.00,2400.00,1.0068,58.20,0
18,310.93,94.25,100.00,2400.00,1.0094,58.20,0
19,322.51,90.23,100.00,2400.00,1.0075,57.60,0
20,331.73,92.96,100.00,2400.00,1.0032,57.60,0
21,319.77,95.60,100.00,2400.00,1.0039,58.20,0
22,339.77,90.48,100.00,2400.00,0.9997,57.60,0
23,328.42,93.29,100.00,2400.00,1.001,58.20,0
24,339.11,94.19,100.00,2400.00,1.0016,58.70,0
25,324.10,95.70,100.00,2400.00,1.0016,58.70,0
26,326.13,93.21,100.00,2400.00,0.9974,59.30,0
27,324.32,94.45,100.00,2400.00,0.9986,58.20,0
28,332.48,95.94,100.00,2400.00,0.9937,58.70,0
29,328.17,92.57,100.00,2400.00,0.9947,58.20,0
30,325.08,93.68,100.00,2400.00,0.9959,58.70,0
31,320.36,94.52,100.00,2400.00,0.9959,58.70,0
32,329.55,93.29,100.00,2400.00,0.9918,58.70,0
33,344.92,92.81,100.00,2400.00,0.9917,58.20,0
34,374.72,89.52,100.00,2400.00,0.9874,58.20,0
35,421.85,94.14,100.00,2400.00,0.989,58.20,0
36,388.41,94.35,100.00,2400.00,0.9872,58.20,0
