frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,temp_max,throttle_count
0,2664.34,95.69,100.00,2400.00,1.7923,62.00,0
1,2606.28,96.54,100.00,2400.00,1.791,61.50,0
2,2607.01,96.52,100.00,2400.00,1.788,62.00,0
3,2658.30,96.12,100.00,2400.00,1.7868,61.50,0
4,2758.98,96.20,100.00,2400.00,1.7898,61.50,0
5,2635.54,96.45,100.00,2400.00,1.7895,61.50,0
6,2608.92,95.15,100.00,2400.00,1.7887,62.00,0
7,2614.50,95.71,100.00,2400.00,1.7869,62.00,0
8,2597.72,97.07,100.00,2400.00,1.7859,63.10,0
9,2671.49,96.58,100.00,2400.00,1.7848,62.60,0
10,2665.83,95.70,100.00,2400.00,1.7844,62.00,0
11,2670.09,96.07,100.00,2400.00,1.784,62.60,0
12,2595.97,95.53,100.00,2400.00,1.783,63.10,0
13,2623.92,95.88,100.00,2400.00,1.7839,63.10,0
14,2644.34,96.57,100.00,2400.00,1.7839,62.60,0
15,2646.53,96.53,100.00,2400.00,1.7822,63.10,0
16,2688.93,95.27,100.00,2400.00,1.7841,63.10,0
17,2629.84,95.63,100.00,2400.00,1.7843,63.10,0
18,2608.20,96.04,100.00,2400.00,1.7841,63.70,0
19,2660.22,95.34,100.00,2400.00,1.7848,64.20,0
20,2593.15,96.71,100.00,2400.00,1.7842,63.70,0
21,2671.35,96.36,100.00,2400.00,1.7841,63.10,0
22,2617.96,95.30,100.00,2400.00,1.7838,63.70,0
23,2673.68,95.98,100.00,2400.00,1.7822,64.20,0
24,2660.90,96.38,100.00,2400.00,1.783,64.20,0
25,2677.06,95.39,100.00,2400.00,1.7839,64.20,0
26,2579.55,97.00,100.00,2400.00,1.7833,64.80,0
27,2606.52,96.07,100.00,2400.00,1.783,64.20,0
28,2585.44,96.81,100.00,2400.00,1.7823,64.20,0
29,2598.17,96.25,100.00,2400.00,1.7846,64.20,0
30,2546.28,96.33,100.00,2400.00,1.7853,64.80,0
31,2597.48,96.48,100.00,2400.00,1.7845,64.20,0
32,2689.39,96.19,100.00,2400.00,1.7842,64.20,0
33,2610.80,96.68,100.00,2400.00,1.7812,64.80,0
34,2602.48,96.76,100.00,2400.00,1.7834,65.30,0
35,2648.48,96.32,100.00,2400.00,1.7834,64.80,0
36,2623.87,96.45,100.00,2400.00,1.7827,65.30,0
37,2644.95,95.72,100.00,2400.00,1.7837,64.20,0
38,2625.87,96.63,100.00,2400.00,1.7833,64.80,0
39,2619.53,96.19,100.00,2400.00,1.7822,65.30,0
40,2660.96,96.27,100.00,2400.00,1.7832,65.30,0
41,2618.48,94.60,100.00,2400.00,1.7852,64.80,0
42,2750.13,95.53,100.00,2400.00,1.7832,65.30,0
43,2550.24,96.71,100.00,2400.00,1.7835,65.30,0
44,2604.31,96.84,100.00,2400.00,1.7828,65.30,0
45,2676.05,96.68,100.00,2400.00,1.7832,65.30,0
46,2598.37,95.89,100.00,2400.00,1.782,64.80,0
47,2698.33,96.10,100.00,2400.00,1.7823,65.30,0
48,2620.79,95.72,100.00,2400.00,1.7825,65.30,0
49,2647.72,96.56,100.00,2400.00,1.7812,65.30,0
50,2645.30,96.12,100.00,2400.00,1.7829,65.30,0
51,2697.34,96.10,100.00,2400.00,1.782,65.30,0
52,2675.76,96.25,100.00,2400.00,1.7826,65.30,0
53,2580.40,96.43,100.00,2400.00,1.7826,65.30,0
54,2626.78,96.07,100.00,2400.00,1.784,65.30,0
