frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,temp_max,throttle_count
0,1189.48,95.14,100.00,2400.00,1.4964,59.80,0
1,1166.60,96.85,100.00,2400.00,1.4896,59.80,0
2,1158.05,96.24,100.00,2400.00,1.4801,60.40,0
3,1169.06,96.41,100.00,2400.00,1.4734,60.90,0
4,1282.62,94.81,100.00,2400.00,1.4694,60.90,0
5,1299.60,92.90,100.00,2400.00,1.4678,60.40,0
6,1199.03,96.90,100.00,2400.00,1.4642,60.90,0
7,1129.27,97.68,100.00,2400.00,1.461,60.90,0
8,1213.86,97.57,100.00,2400.00,1.4576,60.90,0
9,1184.89,97.01,100.00,2400.00,1.4575,61.50,0
10,1144.81,98.18,100.00,2400.00,1.4544,61.50,0
11,1166.92,96.95,100.00,2400.00,1.4536,61.50,0
12,1170.61,96.44,100.00,2400.00,1.4519,62.60,0
13,1163.59,96.00,100.00,2400.00,1.452,62.00,0
14,1213.36,97.49,100.00,2400.00,1.4483,62.00,0
15,1162.45,97.25,100.00,2400.00,1.4487,62.00,0
16,1164.31,98.10,100.00,2400.00,1.4467,62.00,0
17,1444.13,95.14,100.00,2400.00,1.4473,61.50,0
18,1344.27,94.93,100.00,2400.00,1.4446,62.00,0
19,1177.53,96.85,100.00,2400.00,1.4452,62.60,0
20,1254.58,95.47,100.00,2400.00,1.4441,62.60,0
21,1200.91,96.80,100.00,2400.00,1.4447,62.60,0
22,1185.28,96.58,100.00,2400.00,1.4446,62.60,0
23,1179.88,95.24,100.00,2400.00,1.4452,62.60,0
24,1185.46,96.51,100.00,2400.00,1.4449,62.00,0
25,1222.32,96.67,100.00,2400.00,1.4452,63.10,0
26,1182.25,96.96,100.00,2400.00,1.4437,63.10,0
27,1199.49,95.04,100.00,2400.00,1.4442,63.10,0
28,1142.55,97.74,100.00,2400.00,1.4438,63.10,0
29,1216.01,97.03,100.00,2400.00,1.4441,63.10,0
30,1189.38,97.79,100.00,2400.00,1.4436,63.10,0
31,1177.82,96.86,100.00,2400.00,1.4437,62.60,0
32,1273.44,96.69,100.00,2400.00,1.4439,62.60,0
33,1240.18,94.94,100.00,2400.00,1.4438,63.10,0
34,1333.24,94.96,100.00,2400.00,1.444,63.70,0
35,1400.99,94.50,100.00,2400.00,1.4454,63.10,0
36,1197.13,96.36,100.00,2400.00,1.4465,63.10,0
37,1180.02,96.42,100.00,2400.00,1.4458,62.60,0
38,1207.80,97.01,100.00,2400.00,1.4427,63.10,0
39,1176.79,97.27,100.00,2400.00,1.4431,63.10,0
40,1191.76,95.64,100.00,2400.00,1.4418,63.10,0
41,1350.38,94.49,100.00,2400.00,1.4433,63.10,0
42,1385.24,94.74,100.00,2400.00,1.4445,63.10,0
43,1507.38,93.63,100.00,2400.00,1.447,63.10,0
44,1194.30,97.15,100.00,2400.00,1.4458,63.10,0
45,1177.57,97.67,100.00,2400.00,1.4456,63.10,0
46,1199.39,95.40,100.00,2400.00,1.4472,63.10,0
47,1193.04,97.48,100.00,2400.00,1.4473,63.10,0
48,1179.13,96.72,100.00,2400.00,1.4458,63.10,0
49,1188.79,95.86,100.00,2400.00,1.4455,64.20,0
50,1201.43,97.50,100.00,2400.00,1.4457,63.70,0
51,1209.73,96.50,100.00,2400.00,1.4461,63.70,0
52,1168.43,97.89,100.00,2400.00,1.4451,64.20,0
53,1177.76,96.45,100.00,2400.00,1.4455,64.20,0
54,1204.59,97.61,100.00,2400.00,1.4453,63.70,0
55,1156.54,97.15,100.00,2400.00,1.4453,63.70,0
56,1201.39,97.11,100.00,2400.00,1.4454,63.70,0
57,1190.00,96.77,100.00,2400.00,1.4463,64.20,0
58,1188.31,96.56,100.00,2400.00,1.4449,63.70,0
59,1181.34,97.61,100.00,2400.00,1.4453,64.20,0
60,1185.46,97.63,100.00,2400.00,1.4434,64.20,0
61,1167.02,96.75,100.00,2400.00,1.4441,64.20,0
62,1143.04,96.83,100.00,2400.00,1.444,64.20,0
63,1172.94,97.15,100.00,2400.00,1.4451,64.20,0
64,1208.14,97.26,100.00,2400.00,1.4457,64.20,0
65,1197.18,96.65,100.00,2400.00,1.4458,64.20,0
66,1161.48,97.04,100.00,2400.00,1.4458,64.80,0
67,1177.81,96.24,100.00,2400.00,1.4462,64.80,0
68,1183.47,96.72,100.00,2400.00,1.4461,64.80,0
69,1171.45,97.80,100.00,2400.00,1.4455,64.80,0
70,1196.00,96.11,100.00,2400.00,1.4453,64.80,0
71,1183.27,96.46,100.00,2400.00,1.4459,65.30,0
72,1204.27,96.04,100.00,2400.00,1.4449,64.20,0
73,1130.93,96.40,100.00,2400.00,1.4451,64.80,0
74,1189.46,96.04,100.00,2400.00,1.4458,65.30,0
75,1181.61,95.79,100.00,2400.00,1.4457,64.20,0
