frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,temp_max,throttle_count
0,954.99,93.61,100.00,2400.00,1.3414,58.20,0
1,977.80,96.33,100.00,2400.00,1.3374,58.20,0
2,975.33,95.98,100.00,2400.00,1.3304,58.70,0
3,984.28,97.57,100.00,2400.00,1.3253,58.70,0
4,976.45,97.11,100.00,2400.00,1.3157,58.70,0
5,985.90,95.07,100.00,2400.00,1.3122,58.70,0
6,978.44,95.29,100.00,2400.00,1.3048,58.70,0
7,995.11,96.02,100.00,2400.00,1.3024,59.80,0
8,957.02,96.82,100.00,2400.00,1.296,60.40,0
9,938.74,96.96,100.00,2400.00,1.2948,60.40,0
10,911.63,97.59,100.00,2400.00,1.2894,60.90,0
11,949.21,95.67,100.00,2400.00,1.2897,60.40,0
12,926.70,96.76,100.00,2400.00,1.288,60.40,0
13,980.69,96.41,100.00,2400.00,1.288,59.80,0
14,974.63,96.66,100.00,2400.00,1.2869,60.40,0
15,975.68,95.68,100.00,2400.00,1.2868,60.90,0
16,1001.43,95.98,100.00,2400.00,1.2838,60.40,0
17,941.21,96.25,100.00,2400.00,1.2832,60.90,0
18,971.08,96.43,100.00,2400.00,1.2826,60.40,0
19,1066.34,95.51,100.00,2400.00,1.2829,60.40,0
20,1127.82,93.88,100.00,2400.00,1.2823,60.40,0
21,1051.29,93.46,100.00,2400.00,1.2821,60.40,0
22,1068.03,93.11,100.00,2400.00,1.2793,60.90,0
23,1010.14,94.29,100.00,2400.00,1.2803,60.90,0
24,951.10,96.42,100.00,2400.00,1.2786,60.90,0
25,1004.71,93.88,100.00,2400.00,1.2795,60.90,0
26,962.63,96.73,100.00,2400.00,1.2796,61.50,0
27,972.28,95.89,100.00,2400.00,1.2795,60.90,0
28,973.08,94.79,100.00,2400.00,1.2781,60.90,0
29,1195.77,91.32,100.00,2400.00,1.2795,60.90,0
30,974.00,97.01,100.00,2400.00,1.2782,60.90,0
31,1179.17,91.53,100.00,2400.00,1.279,60.90,0
32,1004.06,96.07,100.00,2400.00,1.277,60.90,0
33,956.81,96.31,100.00,2400.00,1.2782,62.00,0
34,938.65,95.33,100.00,2400.00,1.2794,61.50,0
35,948.53,97.81,100.00,2400.00,1.2803,61.50,0
36,940.65,96.11,100.00,2400.00,1.2796,62.00,0
37,949.17,94.82,100.00,2400.00,1.2794,62.00,0
38,949.12,96.42,100.00,2400.00,1.2801,62.00,0
39,966.48,95.99,100.00,2400.00,1.2799,62.00,0
40,962.75,95.83,100.00,2400.00,1.2787,62.60,0
41,1009.90,97.47,100.00,2400.00,1.2788,62.00,0
42,960.09,95.46,100.00,2400.00,1.2774,62.00,0
43,1006.82,96.29,100.00,2400.00,1.2788,61.50,0
44,975.65,96.65,100.00,2400.00,1.2783,62.60,0
45,971.65,96.11,100.00,2400.00,1.2784,62.00,0
46,977.59,96.33,100.00,2400.00,1.2784,62.00,0
47,945.16,94.97,100.00,2400.00,1.2789,61.50,0
48,957.51,96.54,100.00,2400.00,1.2789,62.60,0
49,947.29,94.43,100.00,2400.00,1.2796,62.00,0
50,952.78,97.32,100.00,2400.00,1.2792,62.00,0
51,956.05,96.14,100.00,2400.00,1.28,62.00,0
52,996.59,95.03,100.00,2400.00,1.2786,62.60,0
53,1001.26,96.88,100.00,2400.00,1.2792,62.00,0
54,990.01,96.34,100.00,2400.00,1.2776,62.00,0
55,966.45,96.61,100.00,2400.00,1.2774,62.60,0
56,949.82,97.02,100.00,2400.00,1.2778,62.60,0
57,947.36,96.69,100.00,2400.00,1.2784,62.60,0
58,950.96,95.40,100.00,2400.00,1.2776,62.60,0
59,943.05,97.00,100.00,2400.00,1.2782,62.60,0
60,931.15,96.15,100.00,2400.00,1.2773,63.10,0
61,955.56,95.31,100.00,2400.00,1.2781,63.10,0
62,947.94,96.01,100.00,2400.00,1.2777,62.60,0
63,968.00,95.92,100.00,2400.00,1.278,62.60,0
64,971.06,95.80,100.00,2400.00,1.2772,63.10,0
65,971.71,97.01,100.00,2400.00,1.2784,63.10,0
