frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,temp_max,throttle_count
0,129.26,79.63,100.00,2400.00,1.0547,49.90,0
1,121.26,93.50,100.00,2400.00,1.0547,49.90,0
2,118.31,91.08,100.00,2400.00,1.056,50.50,0
3,124.09,89.82,100.00,2400.00,1.0563,49.90,0
4,121.34,90.72,100.00,2400.00,1.0576,51.00,0
5,135.52,87.37,100.00,2400.00,1.0605,50.50,0
6,136.68,94.22,100.00,2400.00,1.0625,51.00,0
7,136.88,95.00,100.00,2400.00,1.0629,51.00,0
8,132.84,92.83,100.00,2400.00,1.062,51.00,0
9,126.22,89.92,100.00,2400.00,1.0585,50.50,0
10,129.15,91.83,100.00,2400.00,1.0612,51.00,0
11,125.86,84.88,100.00,2400.00,1.0612,51.00,0
12,134.68,93.27,100.00,2400.00,1.0674,51.60,0
13,137.86,92.23,100.00,2400.00,1.0673,52.10,0
14,135.50,87.10,100.00,2400.00,1.0686,51.60,0
15,130.12,92.63,100.00,2400.00,1.0686,51.60,0
16,132.45,90.85,100.00,2400.00,1.0693,52.10,0
17,127.56,93.20,100.00,2400.00,1.0676,52.10,0
18,124.68,88.43,100.00,2400.00,1.0647,52.10,0
19,127.79,88.68,100.00,2400.00,1.0675,52.10,0
20,132.98,91.36,100.00,2400.00,1.0613,52.10,0
21,135.08,89.23,100.00,2400.00,1.0615,52.10,0
22,125.57,92.78,100.00,2400.00,1.0626,52.10,0
23,124.70,90.28,100.00,2400.00,1.063,51.60,0
24,129.58,88.90,100.00,2400.00,1.0633,52.70,0
25,130.84,93.45,100.00,2400.00,1.0641,52.70,0
26,125.81,88.02,100.00,2400.00,1.0612,52.10,0
27,137.33,86.35,100.00,2400.00,1.0614,52.70,0
28,140.32,93.70,100.00,2400.00,1.0568,52.70,0
29,125.68,86.55,100.00,2400.00,1.0573,53.20,0
30,130.54,91.42,100.00,2400.00,1.0561,52.70,0
31,122.80,89.70,100.00,2400.00,1.0561,53.20,0
32,132.48,94.78,100.00,2400.00,1.0558,52.70,0
33,134.08,95.35,100.00,2400.00,1.0569,53.80,0
34,129.14,93.07,100.00,2400.00,1.0515,52.70,0
35,136.40,88.72,100.00,2400.00,1.0517,52.70,0
36,134.32,94.83,100.00,2400.00,1.052,53.20,0
37,132.01,93.27,100.00,2400.00,1.052,53.20,0
38,138.41,94.17,100.00,2400.00,1.0511,53.20,0
39,128.50,88.67,100.00,2400.00,1.0522,53.20,0
40,132.91,92.60,100.00,2400.00,1.0564,53.20,0
41,139.70,91.83,100.00,2400.00,1.0552,53.80,0
42,142.42,77.62,100.00,2400.00,1.0509,53.20,0
43,134.54,92.83,100.00,2400.00,1.0523,52.70,0
44,133.27,93.47,100.00,2400.00,1.0521,53.20,0
45,131.06,93.69,100.00,2400.00,1.0528,53.80,0
46,127.00,90.72,100.00,2400.00,1.0536,53.80,0
47,129.07,88.78,100.00,2400.00,1.053,53.20,0
48,132.09,90.75,100.00,2400.00,1.0459,53.20,0
49,139.78,91.78,100.00,2400.00,1.0459,53.20,0
50,133.25,93.73,100.00,2400.00,1.0465,53.20,0
51,127.95,87.50,100.00,2400.00,1.0459,53.20,0
52,129.61,90.55,100.00,2400.00,1.0444,53.20,0
53,127.79,90.80,100.00,2400.00,1.0444,53.20,0
54,127.67,89.70,100.00,2400.00,1.0485,53.80,0
55,139.70,93.45,100.00,2400.00,1.0477,53.80,0
56,134.79,93.38,100.00,2400.00,1.0495,53.20,0
57,132.32,94.28,100.00,2400.00,1.0495,53.20,0
58,138.82,91.02,100.00,2400.00,1.0494,53.80,0
59,132.83,92.73,100.00,2400.00,1.0494,53.80,0
60,131.28,92.22,100.00,2400.00,1.0494,53.80,0
61,129.58,90.97,100.00,2400.00,1.051,53.80,0
62,135.64,88.74,100.00,2400.00,1.0438,54.30,0
63,137.68,87.70,100.00,2400.00,1.0441,53.20,0
64,130.26,87.53,100.00,2400.00,1.0436,53.20,0
65,128.20,88.82,100.00,2400.00,1.044,53.80,0
66,129.51,89.05,100.00,2400.00,1.0445,53.20,0
67,131.09,93.33,100.00,2400.00,1.0445,53.80,0
68,130.41,92.22,100.00,2400.00,1.0412,53.80,0
69,130.16,88.85,100.00,2400.00,1.0407,54.30,0
70,139.09,88.09,100.00,2400.00,1.039,54.30,0
71,136.38,86.12,100.00,2400.00,1.0393,53.80,0
72,129.84,91.82,100.00,2400.00,1.0372,54.30,0
73,128.87,91.55,100.00,2400.00,1.0385,53.20,0
74,121.18,90.00,100.00,2400.00,1.038,54.30,0
75,125.90,91.23,100.00,2400.00,1.0387,54.90,0
76,132.87,85.88,100.00,2400.00,1.0327,54.30,0
77,140.76,93.81,100.00,2400.00,1.0327,54.30,0
78,125.79,87.23,100.00,2400.00,1.0327,53.80,0
79,129.57,91.04,100.00,2400.00,1.0339,54.30,0
80,126.11,90.93,100.00,2400.00,1.0353,53.80,0
81,126.80,91.97,100.00,2400.00,1.0354,55.40,0
82,130.48,91.08,100.00,2400.00,1.036,54.90,0
83,138.87,93.01,100.00,2400.00,1.0361,54.90,0
84,135.76,86.63,100.00,2400.00,1.0328,54.30,0
85,130.52,94.02,100.00,2400.00,1.0328,54.30,0
86,130.53,93.02,100.00,2400.00,1.0325,54.30,0
87,126.73,89.82,100.00,2400.00,1.0328,54.30,0
88,131.31,93.12,100.00,2400.00,1.0319,54.30,0
89,130.79,95.38,100.00,2400.00,1.0341,54.30,0
90,134.12,85.03,100.00,2400.00,1.0305,54.30,0
91,132.60,88.88,100.00,2400.00,1.0305,53.80,0
92,132.81,91.73,100.00,2400.00,1.0306,54.90,0
93,125.61,89.58,100.00,2400.00,1.0306,54.30,0
94,123.31,91.32,100.00,2400.00,1.0325,53.80,0
95,125.94,91.82,100.00,2400.00,1.0324,55.40,0
96,131.58,89.47,100.00,2400.00,1.0312,54.90,0
97,139.45,90.34,100.00,2400.00,1.0308,54.30,0
98,133.52,89.18,100.00,2400.00,1.0295,54.30,0
99,130.42,92.32,100.00,2400.00,1.0284,54.30,0
100,130.05,92.32,100.00,2400.00,1.029,54.90,0
101,132.30,92.50,100.00,2400.00,1.029,56.00,0
102,130.94,88.73,100.00,2400.00,1.0273,54.30,0
103,133.18,92.37,100.00,2400.00,1.0283,54.30,0
104,137.92,94.63,100.00,2400.00,1.0272,54.90,0
105,135.84,96.63,100.00,2400.00,1.0275,54.30,0
106,132.87,93.81,100.00,2400.00,1.0269,54.90,0
107,122.30,86.58,100.00,2400.00,1.0269,54.90,0
108,127.35,88.62,100.00,2400.00,1.0249,54.90,0
109,127.21,89.75,100.00,2400.00,1.0254,55.40,0
110,131.15,88.90,100.00,2400.00,1.0308,55.40,0
111,133.82,91.95,100.00,2400.00,1.0306,54.90,0
112,143.30,88.04,100.00,2400.00,1.0291,54.90,0
113,126.57,87.55,100.00,2400.00,1.03,54.90,0
114,128.93,90.55,100.00,2400.00,1.0313,54.90,0
115,132.49,95.30,100.00,2400.00,1.0316,56.50,0
116,130.46,88.20,100.00,2400.00,1.0287,54.30,0
117,128.36,91.50,100.00,2400.00,1.0302,56.50,0
118,133.53,90.85,100.00,2400.00,1.0261,54.90,0
119,141.48,91.30,100.00,2400.00,1.0269,54.90,0
120,129.71,93.78,100.00,2400.00,1.0261,55.40,0
121,129.07,91.98,100.00,2400.00,1.0273,55.40,0
122,129.14,90.93,100.00,2400.00,1.0259,54.90,0
123,128.66,91.98,100.00,2400.00,1.0235,56.50,0
124,132.67,93.20,100.00,2400.00,1.0258,54.90,0
125,133.43,93.43,100.00,2400.00,1.0234,54.90,0
126,142.45,91.41,100.00,2400.00,1.0235,56.00,0
127,135.82,89.60,100.00,2400.00,1.0241,54.90,0
128,131.49,94.45,100.00,2400.00,1.0244,55.40,0
129,131.04,92.73,100.00,2400.00,1.0244,55.40,0
130,139.81,94.76,100.00,2400.00,1.0234,55.40,0
131,129.60,91.08,100.00,2400.00,1.0246,54.90,0
132,132.74,92.75,100.00,2400.00,1.0262,55.40,0
133,129.20,88.70,100.00,2400.00,1.0262,56.00,0
134,118.08,88.18,100.00,2400.00,1.0227,55.40,0
135,131.34,91.42,100.00,2400.00,1.0227,56.00,0
136,129.58,91.08,100.00,2400.00,1.0227,54.90,0
137,135.32,88.48,100.00,2400.00,1.0237,55.40,0
138,128.59,91.67,100.00,2400.00,1.0243,56.50,0
139,128.93,86.17,100.00,2400.00,1.0247,56.00,0
140,126.60,93.72,100.00,2400.00,1.0223,54.90,0
141,128.36,87.68,100.00,2400.00,1.0214,55.40,0
142,126.32,89.23,100.00,2400.00,1.0211,55.40,0
143,132.63,94.82,100.00,2400.00,1.0211,55.40,0
144,135.72,92.53,100.00,2400.00,1.0195,55.40,0
145,131.41,91.03,100.00,2400.00,1.0195,54.90,0
146,126.14,91.22,100.00,2400.00,1.0202,56.00,0
147,125.85,87.60,100.00,2400.00,1.0204,54.90,0
148,125.67,89.45,100.00,2400.00,1.0178,55.40,0
149,127.52,87.30,100.00,2400.00,1.0178,55.40,0
150,126.65,91.63,100.00,2400.00,1.0203,56.00,0
151,132.10,91.47,100.00,2400.00,1.021,55.40,0
152,127.85,90.85,100.00,2400.00,1.0185,55.40,0
153,124.35,90.15,100.00,2400.00,1.0203,56.00,0
154,126.30,86.25,100.00,2400.00,1.0174,55.40,0
155,124.86,86.12,100.00,2400.00,1.0174,55.40,0
156,131.96,94.45,100.00,2400.00,1.0174,55.40,0
157,127.78,93.62,100.00,2400.00,1.0183,56.00,0
158,131.89,85.12,100.00,2400.00,1.0197,55.40,0
159,132.94,92.42,100.00,2400.00,1.0197,55.40,0
160,129.33,90.00,100.00,2400.00,1.0177,56.00,0
161,131.06,89.82,100.00,2400.00,1.0177,55.40,0
162,137.18,95.00,100.00,2400.00,1.018,56.00,0
163,127.07,90.00,100.00,2400.00,1.0171,55.40,0
164,125.83,88.20,100.00,2400.00,1.0168,56.00,0
165,134.11,90.52,100.00,2400.00,1.0168,56.00,0
166,131.27,93.15,100.00,2400.00,1.016,56.00,0
167,128.26,88.37,100.00,2400.00,1.0191,56.00,0
168,130.50,92.27,100.00,2400.00,1.0203,55.40,0
169,126.52,92.42,100.00,2400.00,1.0205,56.00,0
170,127.85,89.83,100.00,2400.00,1.0237,56.00,0
171,125.22,88.82,100.00,2400.00,1.0237,55.40,0
172,140.96,93.62,100.00,2400.00,1.0223,56.00,0
173,121.66,94.82,100.00,2400.00,1.0226,56.50,0
174,127.43,88.77,100.00,2400.00,1.0208,56.00,0
175,131.87,82.10,100.00,2400.00,1.0212,56.00,0
176,135.22,92.32,100.00,2400.00,1.0198,56.00,0
177,127.02,91.82,100.00,2400.00,1.0199,56.50,0
178,127.16,89.22,100.00,2400.00,1.0217,56.00,0
179,130.99,87.75,100.00,2400.00,1.0222,56.50,0
180,122.08,87.22,100.00,2400.00,1.0228,56.00,0
181,133.59,92.93,100.00,2400.00,1.024,55.40,0
182,138.10,97.05,100.00,2400.00,1.0225,56.00,0
183,132.31,93.17,100.00,2400.00,1.0228,56.50,0
184,130.12,90.02,100.00,2400.00,1.0239,56.00,0
185,129.11,94.78,100.00,2400.00,1.0242,56.00,0
186,130.78,89.98,100.00,2400.00,1.0227,56.50,0
187,125.36,92.80,100.00,2400.00,1.0227,56.00,0
188,129.27,88.30,100.00,2400.00,1.023,56.50,0
189,133.11,86.97,100.00,2400.00,1.023,57.10,0
190,140.41,93.61,100.00,2400.00,1.0207,56.50,0
191,128.57,92.12,100.00,2400.00,1.0187,56.00,0
192,127.36,91.08,100.00,2400.00,1.0195,56.00,0
193,124.34,90.15,100.00,2400.00,1.0202,56.50,0
194,127.47,91.08,100.00,2400.00,1.0186,56.50,0
195,129.07,90.37,100.00,2400.00,1.0207,56.00,0
196,131.93,89.47,100.00,2400.00,1.0193,56.00,0
197,139.15,90.37,100.00,2400.00,1.0202,56.00,0
198,123.60,88.06,100.00,2400.00,1.02,56.50,0
199,133.17,92.92,100.00,2400.00,1.0199,56.50,0
200,130.80,92.37,100.00,2400.00,1.021,57.10,0
201,126.79,89.70,100.00,2400.00,1.0196,56.50,0
202,130.13,84.78,100.00,2400.00,1.0213,56.50,0
203,135.55,91.70,100.00,2400.00,1.0213,56.00,0
204,133.30,91.48,100.00,2400.00,1.0185,57.60,0
205,126.27,93.60,100.00,2400.00,1.0193,56.50,0
206,127.97,88.10,100.00,2400.00,1.0188,56.00,0
207,125.86,92.92,100.00,2400.00,1.0189,56.00,0
208,128.13,90.23,100.00,2400.00,1.0185,56.50,0
209,133.50,93.17,100.00,2400.00,1.0214,56.50,0
210,137.21,90.12,100.00,2400.00,1.0194,56.50,0
211,131.61,93.48,100.00,2400.00,1.0194,57.10,0
212,133.64,94.78,100.00,2400.00,1.0178,56.50,0
213,132.93,92.20,100.00,2400.00,1.0183,56.50,0
214,131.53,95.43,100.00,2400.00,1.0204,57.10,0
215,128.27,93.17,100.00,2400.00,1.0207,56.50,0
216,128.32,89.80,100.00,2400.00,1.0209,57.10,0
217,131.32,93.33,100.00,2400.00,1.021,57.10,0
218,142.77,89.90,100.00,2400.00,1.0198,57.10,0
219,135.43,95.15,100.00,2400.00,1.0198,57.10,0
220,132.59,91.63,100.00,2400.00,1.0196,56.50,0
221,127.03,93.74,100.00,2400.00,1.0196,56.50,0
222,136.60,94.78,100.00,2400.00,1.0201,56.50,0
223,134.45,90.55,100.00,2400.00,1.0209,56.50,0
224,138.42,95.12,100.00,2400.00,1.0208,56.50,0
225,121.21,93.78,100.00,2400.00,1.0212,56.50,0
226,128.53,90.75,100.00,2400.00,1.0185,56.50,0
227,130.67,92.60,100.00,2400.00,1.0195,56.50,0
228,128.69,94.10,100.00,2400.00,1.0178,57.10,0
229,130.92,89.82,100.00,2400.00,1.0182,57.10,0
230,130.50,90.38,100.00,2400.00,1.0186,56.50,0
231,133.28,92.65,100.00,2400.00,1.0209,56.50,0
232,130.18,95.58,100.00,2400.00,1.0203,56.50,0
233,126.76,87.88,100.00,2400.00,1.0203,56.50,0
234,127.59,91.22,100.00,2400.00,1.021,56.50,0
235,124.56,90.28,100.00,2400.00,1.0211,56.50,0
236,135.55,86.98,100.00,2400.00,1.0206,57.10,0
237,134.36,91.97,100.00,2400.00,1.0206,57.10,0
238,132.51,93.27,100.00,2400.00,1.0203,57.10,0
239,133.91,93.88,100.00,2400.00,1.021,57.10,0
240,135.63,92.93,100.00,2400.00,1.0219,57.10,0
241,130.68,92.42,100.00,2400.00,1.0225,57.60,0
242,130.33,92.05,100.00,2400.00,1.0217,57.10,0
243,130.44,88.62,100.00,2400.00,1.0227,57.10,0
244,134.43,85.52,100.00,2400.00,1.0218,56.50,0
245,135.06,93.63,100.00,2400.00,1.0231,56.50,0
246,130.95,91.12,100.00,2400.00,1.0188,57.10,0
247,130.03,91.70,100.00,2400.00,1.0194,57.10,0
248,125.12,91.10,100.00,2400.00,1.0197,56.50,0
249,133.48,95.53,100.00,2400.00,1.0174,56.50,0
250,130.96,93.17,100.00,2400.00,1.0167,57.10,0
251,123.15,93.53,100.00,2400.00,1.0167,57.10,0
252,125.71,87.45,100.00,2400.00,1.0193,57.10,0
253,127.59,89.90,100.00,2400.00,1.0193,57.10,0
254,135.51,91.79,100.00,2400.00,1.0167,57.10,0
255,128.80,84.70,100.00,2400.00,1.0167,57.10,0
256,127.48,90.18,100.00,2400.00,1.0155,58.70,0
257,131.53,90.15,100.00,2400.00,1.016,57.60,0
258,122.38,89.42,100.00,2400.00,1.0157,57.10,0
259,125.97,89.08,100.00,2400.00,1.0178,57.10,0
260,132.06,88.03,100.00,2400.00,1.0181,57.10,0
