frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,temp_max,throttle_count
0,318.70,87.98,100.00,2400.00,1.0919,54.90,0
1,301.64,94.39,100.00,2400.00,1.0922,55.40,0
2,316.19,93.74,100.00,2400.00,1.0955,54.90,0
3,305.29,95.05,100.00,2400.00,1.0955,56.00,0
4,317.79,92.95,100.00,2400.00,1.0966,56.00,0
5,317.32,93.97,100.00,2400.00,1.0974,55.40,0
6,310.07,95.19,100.00,2400.00,1.0982,55.40,0
7,311.98,93.40,100.00,2400.00,1.0982,56.50,0
8,320.19,93.15,100.00,2400.00,1.0984,56.00,0
9,311.59,94.55,100.00,2400.00,1.0984,56.50,0
10,309.44,95.63,100.00,2400.00,1.1001,56.50,0
11,321.28,94.05,100.00,2400.00,1.1015,55.40,0
12,315.32,95.33,100.00,2400.00,1.1037,56.50,0
13,314.74,93.98,100.00,2400.00,1.1038,56.50,0
14,321.53,93.69,100.00,2400.00,1.1057,57.10,0
15,310.50,96.39,100.00,2400.00,1.1058,56.50,0
16,315.40,94.45,100.00,2400.00,1.102,57.10,0
17,323.51,92.69,100.00,2400.00,1.1016,57.60,0
18,309.35,95.96,100.00,2400.00,1.0991,57.10,0
19,310.59,93.35,100.00,2400.00,1.0994,57.10,0
20,319.51,92.97,100.00,2400.00,1.0986,57.10,0
21,312.86,95.23,100.00,2400.00,1.0985,57.10,0
22,316.99,94.27,100.00,2400.00,1.0962,57.10,0
23,321.73,92.53,100.00,2400.00,1.0971,57.60,0
24,314.66,96.75,100.00,2400.00,1.0912,57.10,0
25,311.54,93.93,100.00,2400.00,1.0914,57.10,0
26,323.18,92.82,100.00,2400.00,1.0931,57.10,0
27,322.94,89.59,100.00,2400.00,1.0934,57.60,0
28,311.78,94.77,100.00,2400.00,1.0909,58.20,0
29,333.49,95.85,100.00,2400.00,1.0901,57.60,0
30,315.18,97.12,100.00,2400.00,1.0869,57.60,0
31,315.69,92.63,100.00,2400.00,1.0869,58.20,0
32,322.16,92.58,100.00,2400.00,1.0872,57.60,0
33,309.97,94.32,100.00,2400.00,1.0872,58.20,0
34,315.84,94.82,100.00,2400.00,1.0849,57.60,0
35,317.43,93.41,100.00,2400.00,1.0859,58.20,0
36,314.79,95.04,100.00,2400.00,1.0839,58.70,0
37,318.11,94.40,100.00,2400.00,1.0839,57.60,0
38,319.47,92.67,100.00,2400.00,1.0842,58.20,0
39,307.67,94.87,100.00,2400.00,1.0843,57.60,0
40,315.20,93.03,100.00,2400.00,1.081,58.20,0
41,325.78,93.25,100.00,2400.00,1.0823,58.20,0
42,310.30,95.28,100.00,2400.00,1.0807,58.70,0
43,317.25,92.54,100.00,2400.00,1.0809,58.20,0
44,319.73,95.03,100.00,2400.00,1.0796,58.20,0
45,310.78,95.39,100.00,2400.00,1.0794,58.20,0
46,316.01,92.81,100.00,2400.00,1.0753,59.30,0
47,317.57,94.15,100.00,2400.00,1.0782,58.70,0
48,312.32,94.28,100.00,2400.00,1.0741,58.70,0
49,311.09,92.28,100.00,2400.00,1.0741,59.30,0
50,323.21,93.78,100.00,2400.00,1.0785,58.70,0
51,310.61,94.01,100.00,2400.00,1.0786,58.70,0
52,323.46,94.29,100.00,2400.00,1.0738,58.70,0
53,320.85,92.99,100.00,2400.00,1.0761,58.70,0
54,316.33,95.17,100.00,2400.00,1.0759,58.70,0
55,311.99,93.06,100.00,2400.00,1.0764,59.30,0
56,323.03,90.23,100.00,2400.00,1.074,58.70,0
57,315.49,97.22,100.00,2400.00,1.0737,58.70,0
58,314.93,93.55,100.00,2400.00,1.0731,58.70,0
59,322.13,92.54,100.00,2400.00,1.0739,59.30,0
60,309.93,95.21,100.00,2400.00,1.0742,59.30,0
61,315.79,94.41,100.00,2400.00,1.0745,59.30,0
62,320.16,92.95,100.00,2400.00,1.0737,59.80,0
63,310.52,95.75,100.00,2400.00,1.0733,59.30,0
64,311.03,94.51,100.00,2400.00,1.0724,59.80,0
65,318.80,93.82,100.00,2400.00,1.0722,59.80,0
66,310.45,95.48,100.00,2400.00,1.0683,59.80,0
67,317.74,93.57,100.00,2400.00,1.0684,60.40,0
68,322.88,93.19,100.00,2400.00,1.0705,59.80,0
69,311.70,94.85,100.00,2400.00,1.0708,59.30,0
70,315.51,92.95,100.00,2400.00,1.0688,59.80,0
71,320.71,94.52,100.00,2400.00,1.0696,59.80,0
72,308.63,95.48,100.00,2400.00,1.0696,60.40,0
