frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,temp_max,throttle_count
0,2583.45,96.24,100.00,2400.00,1.8502,61.50,0
1,2579.93,96.77,100.00,2400.00,1.8491,62.60,0
2,2736.29,95.98,100.00,2400.00,1.8456,61.50,0
3,2624.89,97.42,100.00,2400.00,1.8453,62.00,0
4,2607.90,96.80,100.00,2400.00,1.8442,62.00,0
5,2612.14,97.19,100.00,2400.00,1.8463,61.50,0
6,2548.75,97.76,100.00,2400.00,1.8449,62.60,0
7,2611.78,97.10,100.00,2400.00,1.8447,62.60,0
8,2560.68,96.95,100.00,2400.00,1.8438,62.60,0
9,2560.32,97.44,100.00,2400.00,1.844,63.10,0
10,2523.19,97.27,100.00,2400.00,1.8403,63.10,0
11,2551.98,97.37,100.00,2400.00,1.8403,63.10,0
12,2543.04,96.90,100.00,2400.00,1.842,63.10,0
13,2648.74,95.68,100.00,2400.00,1.8415,63.10,0
14,2648.96,96.56,100.00,2400.00,1.8418,63.10,0
15,2659.08,96.98,100.00,2400.00,1.8408,63.10,0
16,2594.16,96.79,100.00,2400.00,1.8404,63.70,0
17,2565.52,96.52,100.00,2400.00,1.842,63.70,0
18,2613.21,96.60,100.00,2400.00,1.842,64.20,0
19,2567.16,97.24,100.00,2400.00,1.8422,64.20,0
20,2478.84,97.36,100.00,2400.00,1.8413,64.20,0
21,2602.73,96.77,100.00,2400.00,1.8409,64.80,0
22,2624.41,97.38,100.00,2400.00,1.8412,64.20,0
23,2559.79,97.57,100.00,2400.00,1.8416,64.80,0
24,2799.45,95.41,100.00,2400.00,1.8412,64.80,0
25,2747.37,96.18,100.00,2400.00,1.8413,64.20,0
26,2551.26,96.74,100.00,2400.00,1.841,64.80,0
27,2617.32,97.22,100.00,2400.00,1.8406,64.80,0
28,2597.35,97.50,100.00,2400.00,1.84,65.30,0
29,2633.32,97.47,100.00,2400.00,1.8419,64.80,0
30,2616.46,96.86,100.00,2400.00,1.8412,64.80,0
31,2598.02,97.43,100.00,2400.00,1.8416,65.90,0
32,2570.67,96.69,100.00,2400.00,1.8415,65.30,0
33,2567.64,95.89,100.00,2400.00,1.8412,64.80,0
34,2532.98,97.17,100.00,2400.00,1.8405,65.30,0
35,2562.42,97.61,100.00,2400.00,1.8403,65.90,0
36,2608.70,96.51,100.00,2400.00,1.8407,65.90,0
37,2574.31,96.63,100.00,2400.00,1.8402,65.30,0
38,2567.32,96.98,100.00,2400.00,1.84,65.90,0
39,2649.29,97.42,100.00,2400.00,1.8397,65.30,0
40,2595.90,97.78,100.00,2400.00,1.8405,65.30,0
41,2594.23,97.60,100.00,2400.00,1.8391,65.30,0
42,2506.86,97.03,100.00,2400.00,1.8399,66.40,0
43,2575.60,97.10,100.00,2400.00,1.8404,65.30,0
44,2639.63,96.32,100.00,2400.00,1.8412,65.90,0
45,2542.72,97.01,100.00,2400.00,1.8418,65.90,0
46,2628.99,96.54,100.00,2400.00,1.8404,65.90,0
47,2527.50,97.58,100.00,2400.00,1.8409,65.30,0
48,2533.93,97.17,100.00,2400.00,1.8419,67.00,0
49,2559.44,95.69,100.00,2400.00,1.8409,66.40,0
50,2634.02,97.33,100.00,2400.00,1.8413,66.40,0
51,2596.92,96.70,100.00,2400.00,1.8405,65.90,0
52,2662.96,96.92,100.00,2400.00,1.8412,65.90,0
53,2576.42,95.92,100.00,2400.00,1.8409,66.40,0
54,2480.86,97.79,100.00,2400.00,1.8395,67.00,0
55,2522.47,97.23,100.00,2400.00,1.8431,65.90,0
56,2668.29,96.50,100.00,2400.00,1.8424,66.40,0
57,2683.96,97.03,100.00,2400.00,1.8427,66.40,0
58,2642.60,97.41,100.00,2400.00,1.8435,65.90,0
59,2657.28,96.82,100.00,2400.00,1.8424,66.40,0
60,2601.46,96.52,100.00,2400.00,1.8413,66.40,0
61,2553.24,97.01,100.00,2400.00,1.8411,66.40,0
62,2521.48,97.44,100.00,2400.00,1.8432,66.40,0
63,2510.50,96.80,100.00,2400.00,1.8416,67.00,0
64,2592.26,96.79,100.00,2400.00,1.8403,65.90,0
65,2487.46,97.29,100.00,2400.00,1.8407,66.40,0
66,2628.19,96.57,100.00,2400.00,1.8407,67.00,0
67,2582.32,97.22,100.00,2400.00,1.8406,67.00,0
68,2598.56,97.26,100.00,2400.00,1.8415,67.00,0
69,2559.34,97.26,100.00,2400.00,1.8413,67.00,0
70,2718.00,95.36,100.00,2400.00,1.8409,66.40,0
71,2511.27,97.52,100.00,2400.00,1.8406,66.40,0
72,2544.17,97.04,100.00,2400.00,1.8407,67.00,0
73,2610.83,96.95,100.00,2400.00,1.8397,67.00,0
74,2557.29,96.74,100.00,2400.00,1.8398,67.00,0
75,2570.67,96.34,100.00,2400.00,1.8402,67.00,0
76,2640.54,96.18,100.00,2400.00,1.8417,66.40,0
77,2544.36,97.50,100.00,2400.00,1.8405,67.00,0
78,2502.94,97.80,100.00,2400.00,1.8406,67.00,0
79,2568.93,97.71,100.00,2400.00,1.8404,67.00,0
80,2620.73,96.94,100.00,2400.00,1.8388,66.40,0
81,2640.43,97.11,100.00,2400.00,1.8397,67.00,0
82,2568.78,97.83,100.00,2400.00,1.8407,67.50,0
83,2517.08,97.48,100.00,2400.00,1.8411,67.00,0
84,2572.43,98.07,100.00,2400.00,1.8411,67.00,0
85,2660.18,97.70,100.00,2400.00,1.841,67.50,0
86,2635.87,96.46,100.00,2400.00,1.8419,67.50,0
87,2586.41,96.75,100.00,2400.00,1.8365,67.00,0
88,2591.54,95.85,100.00,2400.00,1.8397,66.40,0
89,2573.50,97.48,100.00,2400.00,1.8395,67.00,0
90,2639.87,96.89,100.00,2400.00,1.8408,67.00,0
91,2522.51,97.67,100.00,2400.00,1.8409,67.00,0
92,2516.11,96.76,100.00,2400.00,1.8393,67.50,0
93,2543.54,97.01,100.00,2400.00,1.8409,67.00,0
94,2546.78,97.62,100.00,2400.00,1.839,67.00,0
95,2533.58,97.23,100.00,2400.00,1.8389,67.50,0
